"filename", "language", "TypeScript", "Markdown", "TypeScript JSX", "JSON with Comments", "XML", "JSON", "CSS", "Properties", "JavaScript", "comment", "blank", "total"
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\NoResult.tsx", "TypeScript JSX", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\SearchInput.tsx", "TypeScript JSX", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\AdminContainer.tsx", "TypeScript JSX", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 4, 49
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\ModalAlert.tsx", "TypeScript JSX", 0, 0, 97, 0, 0, 0, 0, 0, 0, 1, 6, 104
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\avatar\Avatar.tsx", "TypeScript JSX", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 7, 72
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\charts\BarChart.tsx", "TypeScript JSX", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 3, 51
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\charts\CircleChart.tsx", "TypeScript JSX", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 8, 49
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\charts\CircleChart2.tsx", "TypeScript JSX", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 5, 34
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\charts\HalfCircleChart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\charts\LinesChart.tsx", "TypeScript JSX", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 4, 48
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\datatable\Datatable.tsx", "TypeScript JSX", 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 11, 146
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\dateProvider.tsx", "TypeScript JSX", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\fichas\BannerFicha.tsx", "TypeScript JSX", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 7, 82
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\fichas\CardFicha2.tsx", "TypeScript JSX", 0, 0, 216, 0, 0, 0, 0, 0, 0, 0, 7, 223
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\fichas\CardFichas.tsx", "TypeScript JSX", 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 5, 120
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\fichas\ModalMapa.tsx", "TypeScript JSX", 0, 0, 87, 0, 0, 0, 0, 0, 0, 1, 10, 98
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\fichas\ReadOnlyInput.tsx", "TypeScript JSX", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\fichas\sections\CuartaSeccion.tsx", "TypeScript JSX", 0, 0, 57, 0, 0, 0, 0, 0, 0, 3, 8, 68
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\fichas\sections\DecimaSeccion.tsx", "TypeScript JSX", 0, 0, 63, 0, 0, 0, 0, 0, 0, 3, 8, 74
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\fichas\sections\DecisionComite.tsx", "TypeScript JSX", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 5, 59
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\fichas\sections\Declaracion.tsx", "TypeScript JSX", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 2, 32
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\fichas\sections\DictamenFinal.tsx", "TypeScript JSX", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\fichas\sections\NovenaSeccion.tsx", "TypeScript JSX", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 3, 33
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\fichas\sections\OctavaSeccion.tsx", "TypeScript JSX", 0, 0, 81, 0, 0, 0, 0, 0, 0, 2, 7, 90
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\fichas\sections\PrimeraSeccion.tsx", "TypeScript JSX", 0, 0, 86, 0, 0, 0, 0, 0, 0, 1, 5, 92
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\fichas\sections\QuintaSeccion.tsx", "TypeScript JSX", 0, 0, 101, 0, 0, 0, 0, 0, 0, 3, 8, 112
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\fichas\sections\SegundaSeccion.tsx", "TypeScript JSX", 0, 0, 69, 0, 0, 0, 0, 0, 0, 1, 12, 82
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\fichas\sections\SeptimaSeccion.tsx", "TypeScript JSX", 0, 0, 69, 0, 0, 0, 0, 0, 0, 3, 8, 80
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\fichas\sections\SextaSeccion.tsx", "TypeScript JSX", 0, 0, 87, 0, 0, 0, 0, 0, 0, 2, 6, 95
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\fichas\sections\TerceraSeccion.tsx", "TypeScript JSX", 0, 0, 65, 0, 0, 0, 0, 0, 0, 2, 7, 74
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\fichas\sections\UnDecimaSeccion.tsx", "TypeScript JSX", 0, 0, 64, 0, 0, 0, 0, 0, 0, 3, 7, 74
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\fincas\FincasCard.tsx", "TypeScript JSX", 0, 0, 181, 0, 0, 0, 0, 0, 0, 1, 13, 195
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\navbarAdmin\NavbarAdmin.tsx", "TypeScript JSX", 0, 0, 80, 0, 0, 0, 0, 0, 0, 3, 10, 93
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\notification\Notification.tsx", "TypeScript JSX", 0, 0, 153, 0, 0, 0, 0, 0, 0, 0, 8, 161
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\overview\Card1.tsx", "TypeScript JSX", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 5, 54
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\overview\Card2.tsx", "TypeScript JSX", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 4, 47
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\overview\CardUltimate.tsx", "TypeScript JSX", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 9, 93
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\overview\CardsUltimate.tsx", "TypeScript JSX", 0, 0, 201, 0, 0, 0, 0, 0, 0, 0, 3, 204
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\overview\ListActivity.tsx", "TypeScript JSX", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 6, 71
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\overview\ListActivityItem.tsx", "TypeScript JSX", 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 4, 118
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\overview\Welcome.tsx", "TypeScript JSX", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 10, 43
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\overview\sections\EfectivityData.tsx", "TypeScript JSX", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 4, 50
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\overview\sections\FichasDetailData.tsx", "TypeScript JSX", 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 3, 81
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\overview\sections\GeneralData.tsx", "TypeScript JSX", 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 7, 141
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\overview\sections\InspectorsData.tsx", "TypeScript JSX", 0, 0, 212, 0, 0, 0, 0, 0, 0, 0, 11, 223
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\pagination\Pagination.tsx", "TypeScript JSX", 0, 0, 69, 0, 0, 0, 0, 0, 0, 1, 8, 78
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\productors\ProductorCard.tsx", "TypeScript JSX", 0, 0, 178, 0, 0, 0, 0, 0, 0, 2, 13, 193
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\profile\ProfilePreview.tsx", "TypeScript JSX", 0, 0, 287, 0, 0, 0, 0, 0, 0, 0, 20, 307
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\reports\BarSection.tsx", "TypeScript JSX", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 2, 33
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\reports\CircleSection.tsx", "TypeScript JSX", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 3, 39
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\section\btnAction.tsx", "TypeScript JSX", 0, 0, 44, 0, 0, 0, 0, 0, 0, 1, 4, 49
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\section\btnFuntion.tsx", "TypeScript JSX", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\sidebar\SideBar.tsx", "TypeScript JSX", 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 9, 87
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\sidebar\sidebar.css", "CSS", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 17
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\user\UserCard.tsx", "TypeScript JSX", 0, 0, 203, 0, 0, 0, 0, 0, 0, 0, 20, 223
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\workers\ModalProductoresAsignados.tsx", "TypeScript JSX", 0, 0, 240, 0, 0, 0, 0, 0, 0, 2, 10, 252
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\workers\WorkerCard.tsx", "TypeScript JSX", 0, 0, 226, 0, 0, 0, 0, 0, 0, 0, 15, 241
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\components.css", "CSS", 0, 0, 0, 0, 0, 0, 7, 0, 0, 3, 1, 11
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\error\NoData.tsx", "TypeScript JSX", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\forms\DatosForm.tsx", "TypeScript JSX", 0, 0, 132, 0, 0, 0, 0, 0, 0, 19, 11, 162
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\forms\EmailForm.tsx", "TypeScript JSX", 0, 0, 142, 0, 0, 0, 0, 0, 0, 12, 16, 170
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\forms\FincaForm.tsx", "TypeScript JSX", 0, 0, 311, 0, 0, 0, 0, 0, 0, 10, 25, 346
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\forms\LoginForm.tsx", "TypeScript JSX", 0, 0, 167, 0, 0, 0, 0, 0, 0, 14, 28, 209
